Tahun,HEC(MWh),GDP(Juta),HFCE(Juta),PLNHC,TNH,GDP(Juta),HFCE(Juta)
2000,30538269,1389769900,856798300,26796675,52008300,1389769900,856798300
2001,33318312,1646322000,1039655000,27905482,53560200,1440405700,886736000
2002,33978744,1821833400,1231964500,28903325,55041000,1505216400,920749600
2003,35697122,2013674600,1372078000,29997554,55623000,1577171300,956593400
2004,38579255,2295826200,1532888300,31095970,58253000,1656516800,1004109000
2005,41181839,2774281100,1785596400,32174924,59927000,1750815200,1043805100
2006,43748580,3339216800,2092655700,33118262,55942000,1847126700,1076928100
2007,47321668,3950893200,2510503800,34684540,57006400,1964327300,1130847100
2008,50182040,4948688400,2999956900,36025071,57716100,2082456100,1191190800
2009,54944089,5606203400,3290995900,37099830,58421900,2178850400,1249070100
2010,59823487,6436270800,3643425000,39324520,61363100,2313838000,1308272800
